id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,bentuk_kekerasan,jumlah_korban,satuan,tahun
172,32,JAWA BARAT,3277,KOTA CIMAHI,EKSPLOITASI,0,ORANG,2017
173,32,JAWA BARAT,3277,KOTA CIMAHI,TRAFFICKING,0,ORANG,2017
174,32,JAWA BARAT,3277,KOTA CIMAHI,PENELANTARAN,0,ORANG,2017
175,32,JAWA BARAT,3277,KOTA CIMAHI,LAINNYA,0,ORANG,2017
176,32,JAWA BARAT,3278,KOTA TASIKMALAYA,FISIK,5,ORANG,2017
177,32,JAWA BARAT,3278,KOTA TASIKMALAYA,PSIKIS,2,ORANG,2017
178,32,JAWA BARAT,3278,KOTA TASIKMALAYA,SEKSUAL,9,ORANG,2017
179,32,JAWA BARAT,3278,KOTA TASIKMALAYA,EKSPLOITASI,2,ORANG,2017
180,32,JAWA BARAT,3278,KOTA TASIKMALAYA,TRAFFICKING,4,ORANG,2017
181,32,JAWA BARAT,3278,KOTA TASIKMALAYA,PENELANTARAN,0,ORANG,2017
182,32,JAWA BARAT,3278,KOTA TASIKMALAYA,LAINNYA,1,ORANG,2017
183,32,JAWA BARAT,3279,KOTA BANJAR,FISIK,0,ORANG,2017
184,32,JAWA BARAT,3279,KOTA BANJAR,PSIKIS,0,ORANG,2017
185,32,JAWA BARAT,3279,KOTA BANJAR,SEKSUAL,2,ORANG,2017
186,32,JAWA BARAT,3279,KOTA BANJAR,EKSPLOITASI,0,ORANG,2017
187,32,JAWA BARAT,3279,KOTA BANJAR,TRAFFICKING,0,ORANG,2017
188,32,JAWA BARAT,3279,KOTA BANJAR,PENELANTARAN,0,ORANG,2017
189,32,JAWA BARAT,3279,KOTA BANJAR,LAINNYA,0,ORANG,2017
190,32,JAWA BARAT,3201,KABUPATEN BOGOR,FISIK,1,ORANG,2018
191,32,JAWA BARAT,3201,KABUPATEN BOGOR,PSIKIS,0,ORANG,2018
192,32,JAWA BARAT,3201,KABUPATEN BOGOR,SEKSUAL,0,ORANG,2018
193,32,JAWA BARAT,3201,KABUPATEN BOGOR,EKSPLOITASI,0,ORANG,2018
194,32,JAWA BARAT,3201,KABUPATEN BOGOR,TRAFFICKING,0,ORANG,2018
195,32,JAWA BARAT,3201,KABUPATEN BOGOR,PENELANTARAN,0,ORANG,2018
196,32,JAWA BARAT,3201,KABUPATEN BOGOR,LAINNYA,0,ORANG,2018
197,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,FISIK,0,ORANG,2018
198,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,PSIKIS,0,ORANG,2018
199,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,SEKSUAL,0,ORANG,2018
200,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,EKSPLOITASI,0,ORANG,2018
201,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,TRAFFICKING,0,ORANG,2018
202,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,PENELANTARAN,0,ORANG,2018
203,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,LAINNYA,0,ORANG,2018
204,32,JAWA BARAT,3203,KABUPATEN CIANJUR,FISIK,0,ORANG,2018
205,32,JAWA BARAT,3203,KABUPATEN CIANJUR,PSIKIS,0,ORANG,2018
206,32,JAWA BARAT,3203,KABUPATEN CIANJUR,SEKSUAL,0,ORANG,2018
207,32,JAWA BARAT,3203,KABUPATEN CIANJUR,EKSPLOITASI,0,ORANG,2018
208,32,JAWA BARAT,3203,KABUPATEN CIANJUR,TRAFFICKING,0,ORANG,2018
209,32,JAWA BARAT,3203,KABUPATEN CIANJUR,PENELANTARAN,0,ORANG,2018
210,32,JAWA BARAT,3203,KABUPATEN CIANJUR,LAINNYA,0,ORANG,2018
211,32,JAWA BARAT,3204,KABUPATEN BANDUNG,FISIK,8,ORANG,2018
212,32,JAWA BARAT,3204,KABUPATEN BANDUNG,PSIKIS,3,ORANG,2018
213,32,JAWA BARAT,3204,KABUPATEN BANDUNG,SEKSUAL,35,ORANG,2018
214,32,JAWA BARAT,3204,KABUPATEN BANDUNG,EKSPLOITASI,2,ORANG,2018
215,32,JAWA BARAT,3204,KABUPATEN BANDUNG,TRAFFICKING,1,ORANG,2018
216,32,JAWA BARAT,3204,KABUPATEN BANDUNG,PENELANTARAN,1,ORANG,2018
217,32,JAWA BARAT,3204,KABUPATEN BANDUNG,LAINNYA,0,ORANG,2018
218,32,JAWA BARAT,3205,KABUPATEN GARUT,FISIK,0,ORANG,2018
219,32,JAWA BARAT,3205,KABUPATEN GARUT,PSIKIS,0,ORANG,2018
220,32,JAWA BARAT,3205,KABUPATEN GARUT,SEKSUAL,0,ORANG,2018
221,32,JAWA BARAT,3205,KABUPATEN GARUT,EKSPLOITASI,0,ORANG,2018
222,32,JAWA BARAT,3205,KABUPATEN GARUT,TRAFFICKING,0,ORANG,2018
223,32,JAWA BARAT,3205,KABUPATEN GARUT,PENELANTARAN,0,ORANG,2018
224,32,JAWA BARAT,3205,KABUPATEN GARUT,LAINNYA,0,ORANG,2018
225,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,FISIK,7,ORANG,2018
226,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,PSIKIS,4,ORANG,2018
227,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,SEKSUAL,14,ORANG,2018
228,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,EKSPLOITASI,0,ORANG,2018
229,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,TRAFFICKING,0,ORANG,2018
230,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,PENELANTARAN,1,ORANG,2018
231,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,LAINNYA,9,ORANG,2018
232,32,JAWA BARAT,3207,KABUPATEN CIAMIS,FISIK,5,ORANG,2018
233,32,JAWA BARAT,3207,KABUPATEN CIAMIS,PSIKIS,3,ORANG,2018
234,32,JAWA BARAT,3207,KABUPATEN CIAMIS,SEKSUAL,0,ORANG,2018
235,32,JAWA BARAT,3207,KABUPATEN CIAMIS,EKSPLOITASI,0,ORANG,2018
236,32,JAWA BARAT,3207,KABUPATEN CIAMIS,TRAFFICKING,0,ORANG,2018
237,32,JAWA BARAT,3207,KABUPATEN CIAMIS,PENELANTARAN,2,ORANG,2018
238,32,JAWA BARAT,3207,KABUPATEN CIAMIS,LAINNYA,0,ORANG,2018
239,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,FISIK,1,ORANG,2018
240,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,PSIKIS,1,ORANG,2018
241,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,SEKSUAL,0,ORANG,2018
242,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,EKSPLOITASI,0,ORANG,2018
243,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,TRAFFICKING,0,ORANG,2018
244,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,PENELANTARAN,0,ORANG,2018
245,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,LAINNYA,0,ORANG,2018
246,32,JAWA BARAT,3209,KABUPATEN CIREBON,FISIK,15,ORANG,2018
247,32,JAWA BARAT,3209,KABUPATEN CIREBON,PSIKIS,4,ORANG,2018
248,32,JAWA BARAT,3209,KABUPATEN CIREBON,SEKSUAL,11,ORANG,2018
249,32,JAWA BARAT,3209,KABUPATEN CIREBON,EKSPLOITASI,0,ORANG,2018
250,32,JAWA BARAT,3209,KABUPATEN CIREBON,TRAFFICKING,1,ORANG,2018
251,32,JAWA BARAT,3209,KABUPATEN CIREBON,PENELANTARAN,0,ORANG,2018
252,32,JAWA BARAT,3209,KABUPATEN CIREBON,LAINNYA,8,ORANG,2018
253,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,FISIK,0,ORANG,2018
254,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,PSIKIS,1,ORANG,2018
